,SMILES,logLD50,sigma,n_obs,SMILES_CANON,scaffold
1,B12B3B4B1C234,3.3010299956639813,1.001,1,B12B3B4B1C234,<rdkit.Chem.rdchem.Mol object at 0x7f64da3c4970>
2,Br.Br.CC(C)(C1=CC=CC=C1)C1=CC(CN2CCCCC2)=C(O)C(CN2CCCCC2)=C1,2.7781512503836434,0.001,1,Br.Br.CC(C)(c1ccccc1)c1cc(CN2CCCCC2)c(O)c(CN2CCCCC2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64da3c5850>
3,Br.CC(=O)NC1CCC2=C(C1)SC(N)=N2,3.3010299956639813,1.001,1,Br.CC(=O)NC1CCc2nc(N)sc2C1,<rdkit.Chem.rdchem.Mol object at 0x7f64da3c4a50>
4,Br.CC(=O)SCC1=C(CN)C(O)=C(C)N=C1,3.3010299956639813,0.001,1,Br.CC(=O)SCc1cnc(C)c(O)c1CN,<rdkit.Chem.rdchem.Mol object at 0x7f64da0829d0>
5,Br.CC(=O)SCC1=C(CSC(C)=O)C(O)=C(C)N=C1,2.9395192526186187,0.001,1,Br.CC(=O)SCc1cnc(C)c(O)c1CSC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x7f64da082a40>
6,Br.CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1,3.2041199826559246,0.001,1,Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64da083760>
7,Br.CCN(CC)CC,3.3010299956639813,1.001,1,Br.CCN(CC)CC,<rdkit.Chem.rdchem.Mol object at 0x7f64da082e30>
9,Br.CN1C2CCC1CC(C2)OC(C1=CC=CC=C1)C1=CC=CC=C1C,2.6020599913279625,0.001,1,Br.Cc1ccccc1C(OC1CC2CCC(C1)N2C)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64da082b90>
10,Br.CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,3.103803720955957,0.001,1,Br.CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x7f64da083610>
11,Br.COC1=CC2=C(C[C@H]3[C@H]4CCCC[C@@]24CCN3C)C=C1,2.5440680443502757,0.001,1,Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,<rdkit.Chem.rdchem.Mol object at 0x7f64da082ce0>
