logLD50,sigma,n_obs,Response,Response_Unit,Endpoint,smiles,LD50_class
3.30102999566398,1.001,1,2000,mg/kg,LD50,B12B3B4B1C234,2
2.77815125038364,0.001,1,600,mg/kg,LD50,Br.Br.CC(C)(c1ccccc1)c1cc(CN2CCCCC2)c(O)c(CN2CCCCC2)c1,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,Br.CC(=O)NC1CCc2nc(N)sc2C1,2
3.30102999566398,0.001,1,2000,mg/kg,LD50,Br.CC(=O)SCc1cnc(C)c(O)c1CN,2
2.93951925261862,0.001,1,870,mg/kg,LD50,Br.CC(=O)SCc1cnc(C)c(O)c1CSC(C)=O,2
3.20411998265593,0.001,1,1600,mg/kg,LD50,Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,Br.CCN(CC)CC,2
2.60205999132796,0.001,1,400,mg/kg,LD50,Br.Cc1ccccc1C(OC1CC2CCC(C1)N2C)c1ccccc1,1
3.10380372095596,0.001,1,1270,mg/kg,LD50,Br.CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,2
2.54406804435028,0.001,1,350,mg/kg,LD50,Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,1
2.38381536598043,0.001,1,242,mg/kg,LD50,Br.COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3,1
3.69897000433602,1.001,1,5000,mg/kg,LD50,Br.CSc1nc(N)c2c(C)coc2n1,2
2.50514997831991,0.001,1,320,mg/kg,LD50,Br.CN1CC[C@]2(C)C[C@@H](Cc3ccc(O)cc32)C1,1
1.8750612633917,0.001,1,75,mg/kg,LD50,Br.COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C(CCN(C)C2)[C@@H]31,1
2,0.001,1,100,mg/kg,LD50,O=CC(Br)(Br)Br,1
3.05956341790127,0.0714445594922632,3,933,mg/kg,LD50,BrC(Br)Br,2
2.4733366431351,0.0851705587705626,2,361,mg/kg,LD50,N#CC(Br)Br,1
3.07918124604762,0.001,1,1200,mg/kg,LD50,BrC(Br)C(Br)Br,2
3.69897000433602,1.001,1,5000,mg/kg,LD50,Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,2
4.18695633546541,1.001,1,15380,mg/kg,LD50,Brc1c(Br)c(Br)c(OCCOc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,3
2.69897000433602,1.001,1,500,mg/kg,LD50,Brc1nc[nH]c1Br,1
3.8750612633917,1.001,1,7500,mg/kg,LD50,O=C1c2c(Br)c(Br)c(Br)c(Br)c2C(=O)N1CCN1C(=O)c2c(Br)c(Br)c(Br)c(Br)c2C1=O,3
3.24303804868629,0.001,1,1750,mg/kg,LD50,O=C1CC(c2cccc(Br)c2)C(=O)N1,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,Brc1cc(Br)c(Oc2nc(Oc3c(Br)cc(Br)cc3Br)nc(Oc3c(Br)cc(Br)cc3Br)n2)c(Br)c1,2
3.5910646070265,0.001,1,3900,mg/kg,LD50,O=C1C=Cc2cc(Br)ccc2C1=O,2
3.47712125471966,1.001,1,3000,mg/kg,LD50,O=C1c2ccc(Br)cc2C(=O)C1(Br)c1ccc2ccccc2c1,2
3.29003461136252,0.001,1,1950,mg/kg,LD50,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,2
3.02118929906994,0.001,1,1050,mg/kg,LD50,O=c1[nH]c2cc(Br)ccc2o1,2
-1,0.001,1,0.1,mg/kg,LD50,Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,0
3.55266821611219,0.001,1,3570,mg/kg,LD50,O=C1c2ccccc2-c2ccc3c4c(ccc1c24)-c1c(Br)ccc(Br)c1C3=O,2
2.60205999132796,0.001,1,400,mg/kg,LD50,S=C=Nc1ccc(Br)cc1,1
1.90308998699194,1.001,1,80,mg/kg,LD50,Brc1ccc(CNC2=NCCS2)cc1,1
3.04921802267018,0.001,1,1120,mg/kg,LD50,O=CNc1ccc(Br)cc1,2
3.05153839051533,0.001,1,1126,mg/kg,LD50,O=Cc1cccc(Br)c1,2
2.87215627274829,0.001,2,745,mg/kg,LD50,O=C1c2cccc(Br)c2C(=O)C1c1ccccc1,2
3.37712404234646,0.001,1,2383,mg/kg,LD50,Brc1ccccc1,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,Brc1cnc2[nH]ccc2c1,2
1.53147891704226,0.001,1,34,mg/kg,LD50,Brc1nc(Br)c(Br)[nH]1,0
4,1.001,1,10000,mg/kg,LD50,O=C1C2C3CC(C(Br)C3Br)C2C(=O)N1CCN1C(=O)C2C3CC(C(Br)C3Br)C2C1=O,3
2.33243845991561,0.001,1,215,mg/kg,LD50,O=S1(=O)CCC(Br)C1,1
1.79239168949825,0.001,1,62,mg/kg,LD50,BrC=CBr,1
3.09691001300806,0.001,1,1250,mg/kg,LD50,BrC=Cc1ccccc1,2
2.03342375548695,0.001,1,108,mg/kg,LD50,BrCBr,1
3.50785587169583,0.001,1,3220,mg/kg,LD50,BrCC(Br)C1CCC(Br)C(Br)C1,2
3.00432137378264,0.362769640240403,3,5240,mg/kg,LD50,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,3
3.36660971039243,0.001,1,2326,mg/kg,LD50,BrCc1cccc(Oc2ccccc2)c1,2
2.1901056208558,0.111924374808178,2,120,mg/kg,LD50,C=CCBr,1
1.83372647644498,0.0423347869467231,2,62,mg/kg,LD50,BrCC=CCBr,1
2.90902085421116,0.001,1,811,mg/kg,LD50,BrCCc1ccccc1,2
3.30102999566398,0.001,1,2000,mg/kg,LD50,BrCCCCCCBr,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,O=C1CCC(=O)N1Br,2
